Fredo Santana,6I9TgZbapKRXsunA05fiPl
French Montana,6vXTefBL93Dj5IqAWq6OTv
Future,1RyvyyTE3xzB2ZywiAwp0i
G Herbo,5QdEbQJ3ylBnc3gsIASAT5
Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo
Hopsin,7EWU4FhUJM1sZQgQKdENeT
Iamsu!,2ZavqCJe7uqkRpISes0NFi
Iggy Azalea,5yG7ZAZafVaAlMTeBybKAL
iLoveMakonnen,3aGFCoR8xGN6DKwvdzeSja
J. Cole,6l3HvQ5sa6mXTsMTB19rO5
Jadakiss,5pnbUBPifNnlusY8kTBivi
Jay Z,3nFkdlSjzX9mRTtwJOzDYB
Jeezy,4yBK75WVCQXej1p04GWqxH
Jeremih,3KV3p5EY4AvKxOlhGHORLg
Jhene Aiko,5ZS223C6JyBfXasXxrRqOk
Jim Jones,6AMa1VFQ7qCi61tCRtVWXe
Joe Moses,4NWGsa4ZVst0VeJOvbxLp1
Joey Bada$$,2P5sC9cVZDToPxyomzF1UH
Juicy J,5gCRApTajqwbnHHPbr2Fpi
Kanye West,5K4W6rqBFWDnAN6FQUkS6x
Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg
Kevin Gates,1gPhS1zisyXr5dHTYZyiMe
Kid Cudi,0fA0VVWsXO9YnASrzqfmYu
Kid Ink,6KZDXtSj0SzGOV705nNeh3
King Los,29M3C4IzWXrztUr4cV2umC
Kirko Bangz,2r8r62VGJKGi463aH1HJUZ
Lil Bibby,4uSN8Y3kgFNVULUWsZEAVW
Lil Durk,3hcs9uc56yIGFCSy9leWe7
Lil Kim,5tth2a3v0sWwV1C7bApBdX
Lil Mouse,1cEHxCgGlEgqBc91YOcAEQ
Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz
Lil Snupe,42FaEHFfyxTdZQ5W28dXnj
Lil Wayne,55Aa2cqylxrFIXC767Z865
Logic,4xRYI6VqpkE3UwrDrAZL8L
Lupe Fiasco,01QTIT5P1pFP3QnnFSdsJf
Mac Miller,4LLpKhyESsyAXpc4laK94U
Machine Gun Kelly,6TIYQ3jFPwQSRmorSezPxX
Meek Mill,20sxb77xiYeusSH8cVdatc
Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp
Mick Jenkins,1FvjvACFvko2Z91IvDljrx
Migos,6oMuImdp5ZcFhWP0ESe6mG
Miguel,360IAlyVv4PCEVjgyMZrxK
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh
Nipsey Hussle,0EeQBlQJFiAfJeVN2vT9s0
PartyNextDoor,2HPaUgqeutzr3jx5a9WyDV
Problem,0399oiMcmbOzzsYQDNYqxn
Pusha T,0ONHkAv9pCAFxb0zJwDNTy
Rich Homie Quan,5lHRUCqkQZCIWeX7xG4sYT
Rick Ross,1sBkRIssrMs1AbVkOJbc7a
Riff Raff,31IZdHrCZ5pRhLz4zBxN3o
Rihanna,5pKCCKE2ajJHZ9KAiaK11H
Rockie Fresh,5Joy3NHmxKQGEOnjxtaMz3
Roy Wood$,7mDU6nMUJnOSY2Hkjz5oqM
"Royce Da 5'9""",6DVipHzYsPlIoA0DW8Gmns
ScHoolboy Q,5IcR3N7QB1j6KBL8eImZ8m
Shy Glizzy,1DvtabXAjfrMihPP6JQdHs
Snoop Dogg,7hJcb9fa4alzcOq3EaNPoG
Soulja Boy,6GMYJwaziB4ekv1Y6wCDWS
Styles P,2x8KDZdSONA3872CnhaAlX
T-Pain,3aQeKQSyrW4qWr35idm0cy
T.I.,4OBJLual30L7gRl5UkeRcT
The Game,0NbfKEOTQCcwd6o7wSDOHI
The Ranger$,3bW0wRnjjcBcanbL2RyI9S
The Underachievers,51Pn4gGnZuyOMDfIT1Zy3N
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ
Tinashe,0NIIxcxNHmOoyBx03SfTCD
Tink,4v6XOdonnfpdTKTRJArG7v
Tory Lanez,2jku7tDXc6XoB6MO2hFuqg
Travi$ Scott,0Y5tJX1MQlPlqiwlOH1tJY
Trey Songz,2iojnBLj0qIMiKPvVhLnsH
Trinidad James,0I5HubncQ8E1MFZOlPDY4J
Ty Dolla $ign,7c0XG5cIJTrrAgEC3ULPiq
Tyga,5LHRHt1k9lMyONurDHEdrp
"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF
Uncle Murda,3kortApcf0ntRWexUkJE4H
Vince Staples,68kEuyFKyqrdQQLLsmiatm
Waka Flocka,6f4XkbvYlXMH0QgVRzW0sM
Wale,67nwj3Y5sZQLl72VNUHEYE
Wiz Khalifa,137W8MRPWKqSmrBGDBFSop
YG,0A0FS04o6zMoto8OKPsDwY
Yo Gotti,6Ha4aES39QiVjR0L2lwuwq
Young Dolph,3HiuzBlSW7pGDXlSFMhO2g
Young Scooter,4cmA2QDPdzh8W2ytpyUGes
Young Thug,50co4Is1HCEo8bhOyUWKpn
